Municipality,Residents 2020-10-24,Count 2020-10-24,Residents 2020-10-31,Count 2020-10-31,Residents 2020-11-07,Count 2020-11-07,Residents 2020-11-14,Count 2020-11-14,Residents 2020-11-21,Count 2020-11-21,Residents 2020-11-28,Count 2020-11-28,Residents 2020-12-05,Count 2020-12-05,Residents 2020-12-12,Count 2020-12-12,Residents 2020-12-19,Count 2020-12-19,Residents 2020-12-26,Count 2020-12-26,Residents 2021-01-02,Count 2021-01-02,Residents 2021-01-09,Count 2021-01-09,Residents 2021-01-16,Count 2021-01-16,Residents 2021-01-23,Count 2021-01-23,Residents 2021-01-30,Count 2021-01-30,Residents 2021-02-06,Count 2021-02-06,Residents 2021-02-13,Count 2021-02-13,Residents 2021-02-20,Count 2021-02-20,Residents 2021-02-27,Count 2021-02-27
Burlington,,,,,,,12.0,3.0,,,,,,,4.0,1.0,,,28.0,7.0,,,,,,,,,,,,,,,,,,
Buzzards Bay,,,,,,,,,87.0,3.0,,,,,29.0,1.0,29.0,1.0,29.0,1.0,,,29.0,1.0,,,58.0,2.0,,,,,,,,,29.0,1.0
Cambridge,,,0.0,1.0,0.0,1.0,2.0,3.0,11.0,12.0,10.0,11.0,0.0,1.0,1.0,2.0,,,10.0,11.0,0.0,1.0,1.0,2.0,,,2.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,12.0,13.0,0.0,1.0
Canton,,,,,,,,,,,,,37.0,8.0,4.0,1.0,,,23.0,5.0,,,,,4.0,1.0,,,,,,,,,9.0,2.0,,
Carver,,,,,,,,,8.0,1.0,,,,,,,8.0,1.0,,,34.0,4.0,52.0,6.0,,,,,,,,,17.0,2.0,,,,
Centerville,,,,,14.0,2.0,,,,,7.0,1.0,,,,,7.0,1.0,,,7.0,1.0,7.0,1.0,,,,,,,,,7.0,1.0,7.0,1.0,,
Charlemont,,,,,,,,,,,,,,,,,78.0,1.0,,,,,,,,,,,,,,,,,,,,
Charlestown,,,,,,,,,5.0,1.0,,,,,11.0,2.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,5.0,1.0,,,,
Charlton,,,,,7.0,1.0,,,7.0,1.0,,,7.0,1.0,7.0,1.0,15.0,2.0,,,,,,,,,,,,,,,,,7.0,1.0,,
Chelmsford,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,2.0,1.0,,,,,,,8.0,3.0,8.0,3.0,25.0,9.0,14.0,5.0,39.0,14.0,25.0,9.0,17.0,6.0,2.0,1.0,,,22.0,8.0,8.0,3.0,5.0,2.0,,,25.0,9.0,19.0,7.0
Cherry Valley,,,9.0,1.0,,,,,,,,,,,,,,,,,,,27.0,3.0,,,9.0,1.0,,,,,,,,,,
Chestnut Hill,,,,,,,,,,,,,,,47.0,1.0,47.0,1.0,,,141.0,3.0,,,,,,,,,,,,,188.0,4.0,,
Chicopee,1.0,1.0,,,1.0,1.0,12.0,7.0,12.0,7.0,3.0,2.0,12.0,7.0,5.0,3.0,3.0,2.0,7.0,4.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,3.0,2.0,,,1.0,1.0
Clinton,,,,,,,,,,,,,,,7.0,1.0,7.0,1.0,14.0,2.0,7.0,1.0,,,22.0,3.0,7.0,1.0,7.0,1.0,,,,,,,,
Cohasset,,,,,,,,,,,13.0,1.0,13.0,1.0,,,,,13.0,1.0,,,,,,,,,,,,,13.0,1.0,,,,
Concord,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,
Dalton,,,,,,,14.0,1.0,,,,,,,,,14.0,1.0,,,,,,,,,14.0,1.0,,,,,,,,,,
Danvers,3.0,1.0,,,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,
Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,
Dedham,,,,,,,,,,,4.0,1.0,4.0,1.0,,,8.0,2.0,,,4.0,1.0,,,,,,,,,,,,,,,8.0,2.0
Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,
Dennis Port,,,,,,,63.0,2.0,,,63.0,2.0,,,,,,,,,31.0,1.0,,,63.0,2.0,,,,,,,,,31.0,1.0,,
Dighton,,,,,,,,,,,,,,,14.0,1.0,,,,,,,14.0,1.0,,,,,,,,,,,,,,
